Time,Type,DevAddr,DevEUI,FCnt,RJcount1,Invalid
'2021-09-05 12:43:19.33','Uplink Msg (UC)','d2f156ff',,'32dc',,
'2021-09-05 12:43:21.43','Proprietary',,,,,
'2021-09-05 12:43:24.45','Downlink Msg (C)','c8c0bbcb',,'87a1',,
'2021-09-05 12:44:03.33','Uplink Msg (C)','260b1ae2',,'0011',,
'2021-09-05 12:44:03.34','Uplink Msg (C)','260b1ae2',,'0011',,
'2021-09-05 12:44:08.37','Downlink Msg (UC)','260b1ae2',,'0013',,
'2021-09-05 12:44:41.62','Uplink Msg (C)','7eb1033c',,'396d',,
'2021-09-05 12:45:03.32','Uplink Msg (C)','260b1ae2',,'0012',,
'2021-09-05 12:45:03.32','Uplink Msg (C)','260b1ae2',,'0012',,
'2021-09-05 12:45:06.30','Rejoin-Request',,'',,: '','Corrupted! Invalid ReJoinType value.'
'2021-09-05 12:45:08.36','Downlink Msg (UC)','260b1ae2',,'0014',,
'2021-09-05 12:45:58.75','Downlink Msg (UC)','c69de101',,'0d6f',,
'2021-09-05 12:46:03.31','Uplink Msg (C)','260b1ae2',,'0013',,
'2021-09-05 12:46:08.35','Downlink Msg (UC)','260b1ae2',,'0015',,
'2021-09-05 12:46:10.46','Join-Request',,'ed3f000000da7f64',,,
'2021-09-05 12:46:17.27','Join-Accept','d16648c0',,,,
'2021-09-05 12:46:32.77','Uplink Msg (UC)','260bf7e1',,'0000',,
'2021-09-05 12:46:32.78','Uplink Msg (UC)','260bf7e1',,'0000',,
'2021-09-05 12:46:39.26','Downlink Msg (C)','260bf7e1',,'0001',,
'2021-09-05 12:46:55.34','Downlink Msg (C)','b18f1f9a',,'9fe4',,
'2021-09-05 12:47:03.32','Uplink Msg (C)','260b1ae2',,'0014',,
'2021-09-05 12:47:08.35','Downlink Msg (UC)','260b1ae2',,'0016',,
'2021-09-05 12:48:03.30','Uplink Msg (C)','260b1ae2',,'0015',,
'2021-09-05 12:48:03.31','Uplink Msg (C)','260b1ae2',,'0015',,
'2021-09-05 12:48:08.35','Downlink Msg (UC)','260b1ae2',,'0017',,
'2021-09-05 12:48:46.66','Proprietary',,,,,
'2021-09-05 12:49:03.30','Uplink Msg (C)','260b1ae2',,'0016',,
'2021-09-05 12:49:03.31','Uplink Msg (C)','260b1ae2',,'0016',,
'2021-09-05 12:49:08.35','Downlink Msg (UC)','260b1ae2',,'0018',,
'2021-09-05 12:50:03.30','Uplink Msg (C)','260b1ae2',,'0017',,
'2021-09-05 12:50:08.33','Downlink Msg (UC)','260b1ae2',,'0019',,
'2021-09-05 12:50:39.49','Downlink Msg (C)','759578ab',,'00d6',,
'2021-09-05 12:51:03.29','Uplink Msg (C)','260b1ae2',,'0018',,
'2021-09-05 12:51:08.34','Downlink Msg (UC)','260b1ae2',,'001a',,
'2021-09-05 12:52:00.53','Uplink Msg (UC)','ca714cbe',,'b8b3',,
'2021-09-05 12:52:03.29','Uplink Msg (C)','260b1ae2',,'0019',,
'2021-09-05 12:52:03.30','Uplink Msg (C)','260b1ae2',,'0019',,
'2021-09-05 12:52:08.33','Downlink Msg (UC)','260b1ae2',,'001b',,
'2021-09-05 12:53:03.28','Uplink Msg (C)','260b1ae2',,'001a',,
'2021-09-05 12:53:08.32','Downlink Msg (UC)','260b1ae2',,'001c',,
'2021-09-05 12:53:21.51','Downlink Msg (UC)','88f801a7',,'a54e',,
'2021-09-05 12:54:03.28','Uplink Msg (C)','260b1ae2',,'001b',,
'2021-09-05 12:54:03.29','Uplink Msg (C)','260b1ae2',,'001b',,
'2021-09-05 12:54:08.33','Downlink Msg (UC)','260b1ae2',,'001d',,
'2021-09-05 12:55:03.27','Uplink Msg (C)','260b1ae2',,'001c',,
'2021-09-05 12:55:08.32','Downlink Msg (UC)','260b1ae2',,'001e',,
'2021-09-05 12:56:03.27','Uplink Msg (C)','260b1ae2',,'001d',,
'2021-09-05 12:56:03.28','Uplink Msg (C)','260b1ae2',,'001d',,
'2021-09-05 12:56:08.31','Downlink Msg (UC)','260b1ae2',,'001f',,
'2021-09-05 12:57:03.26','Uplink Msg (C)','260b1ae2',,'001e',,
'2021-09-05 12:57:08.31','Downlink Msg (UC)','260b1ae2',,'0020',,
'2021-09-05 12:58:03.25','Uplink Msg (C)','260b1ae2',,'001f',,
'2021-09-05 12:58:08.30','Downlink Msg (UC)','260b1ae2',,'0021',,
'2021-09-05 12:59:03.26','Uplink Msg (C)','260b1ae2',,'0020',,
'2021-09-05 12:59:08.30','Downlink Msg (UC)','260b1ae2',,'0022',,
'2021-09-05 13:00:03.25','Uplink Msg (C)','260b1ae2',,'0021',,
'2021-09-05 13:00:03.26','Uplink Msg (C)','260b1ae2',,'0021',,
'2021-09-05 13:00:08.30','Downlink Msg (UC)','260b1ae2',,'0023',,
'2021-09-05 13:00:54.18','Downlink Msg (UC)','c2673ff5',,'7cd2',,
'2021-09-05 13:01:03.25','Uplink Msg (C)','260b1ae2',,'0022',,
'2021-09-05 13:01:08.29','Downlink Msg (UC)','260b1ae2',,'0024',,
'2021-09-05 13:02:03.24','Uplink Msg (C)','260b1ae2',,'0023',,
'2021-09-05 13:02:03.25','Uplink Msg (C)','260b1ae2',,'0023',,
